smile,value_min,value_max,value_mean
Cc1ccc(Oc2c(C)cc(-c3cc(C)c(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7C(C)(C)C)cc6C5=O)cc4C(F)(F)F)c(C)c3)cc2C)c(C(F)(F)F)c1,103.0,103.0,103.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)c(C(C)(C)C)c6)cc5C4=O)cc3C(F)(F)F)cc2C(C)(C)C)c(C(F)(F)F)c1,97.0,97.0,97.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)cc6C(C)(C)C)cc5C4=O)cc3C(F)(F)F)cc2C(C)(C)C)c(C(F)(F)F)c1,97.0,97.0,97.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)c(C(C)(C)C)c6)cc5C4=O)cc3C(F)(F)F)c(C(C)(C)C)c2)c(C(F)(F)F)c1,97.0,97.0,97.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)cc6C(C)(C)C)cc5C4=O)cc3C(F)(F)F)c(C(C)(C)C)c2)c(C(F)(F)F)c1,97.0,97.0,97.0
Cc1ccc(Oc2cc(C(C)(C)C)c(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)c(C(C)(C)C)c6)cc5C4=O)cc3C(F)(F)F)cc2C(C)(C)C)c(C(F)(F)F)c1,98.0,98.0,98.0
Cc1ccc(Oc2cc(C(C)(C)C)c(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)cc6C(C)(C)C)cc5C4=O)cc3C(F)(F)F)cc2C(C)(C)C)c(C(F)(F)F)c1,98.0,98.0,98.0
Cc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)c(C(C)(C)C)c7)cc6C5=O)cc4C(F)(F)F)cc3)cc2)c(C(F)(F)F)c1,99.0,99.0,99.0
Cc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7C(C)(C)C)cc6C5=O)cc4C(F)(F)F)cc3)cc2)c(C(F)(F)F)c1,99.0,99.0,99.0
Cc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)c(C(C)(C)C)c7)cc6C5=O)cc4C(F)(F)F)cc3)(C(F)(F)F)C(F)(F)F)cc2)c(C(F)(F)F)c1,112.0,112.0,112.0
